queue_id	queue_rank	source_round	source_version	policy_version	bucket	screen_id	external_screen_id	source_id	source_type	source_family_id	author	screen_name	experimental_setup	condition_name	cell_line	scope_unknown_count	metadata_completeness_count	full_gene_score_set_available	reason_codes
orcs:2.0.18:curation-queue:v2:2268	955	14	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2268	2268	36991492	pubmed	orcs:source-family:pubmed:36991492	Tuano NK (2023)	21-PMID36991492	Timecourse	3D spheroid growth	HMEC	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:551	956	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:551	551	27260156	pubmed	orcs:source-family:pubmed:27260156	Aguirre AJ (2016)	15-PMID27260156	Timecourse		LNCaP	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:80	957	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:80	80	28162770	pubmed	orcs:source-family:pubmed:28162770	Wang T (2017)	14-PMID28162770	Timecourse		THP-1	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:195	958	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:195	195	29083409	pubmed	orcs:source-family:pubmed:29083409	Meyers RM (2017)	15-PMID29083409	Timecourse		WM266-4	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:653	959	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:653	653	29526696	pubmed	orcs:source-family:pubmed:29526696	Tarumoto Y (2018)	15-PMID29526696	Timecourse		AsPC-1	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2159	960	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2159	2159	29779948	pubmed	orcs:source-family:pubmed:29779948	Koren I (2018)	15-PMID29779948	Timecourse		HEK293T	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:705	961	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:705	705	30971826	pubmed	orcs:source-family:pubmed:30971826	Behan FM (2019)	15-PMID30971826	Timecourse		AM-38	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1028	962	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1028	1028	30995489	pubmed	orcs:source-family:pubmed:30995489	MacLeod G (2019)	9-PMID30995489	Timecourse		G510NS-Cas9	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1306	963	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1306	1306	32990596	pubmed	orcs:source-family:pubmed:32990596	Chai AWY (2020)	15-PMID32990596	Timecourse		PE/CA-PJ15	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1859	964	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1859	1859	35559673	pubmed	orcs:source-family:pubmed:35559673	Feng X (2022)	15-PMID35559673	Timecourse		HEK293-A	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2269	965	15	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2269	2269	36991492	pubmed	orcs:source-family:pubmed:36991492	Tuano NK (2023)	22-PMID36991492	Timecourse	3D spheroid growth	HMEC	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:552	966	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:552	552	27260156	pubmed	orcs:source-family:pubmed:27260156	Aguirre AJ (2016)	16-PMID27260156	Timecourse		MeWo	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:196	967	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:196	196	29083409	pubmed	orcs:source-family:pubmed:29083409	Meyers RM (2017)	16-PMID29083409	Timecourse		WM115	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:654	968	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:654	654	29526696	pubmed	orcs:source-family:pubmed:29526696	Tarumoto Y (2018)	16-PMID29526696	Timecourse		CFPAC-1	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2160	969	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2160	2160	29779948	pubmed	orcs:source-family:pubmed:29779948	Koren I (2018)	16-PMID29779948	Timecourse		HEK293T	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:706	970	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:706	706	30971826	pubmed	orcs:source-family:pubmed:30971826	Behan FM (2019)	16-PMID30971826	Timecourse		ARH-77	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1029	971	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1029	1029	30995489	pubmed	orcs:source-family:pubmed:30995489	MacLeod G (2019)	10-PMID30995489	Timecourse		G361NS-Cas9	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1307	972	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1307	1307	32990596	pubmed	orcs:source-family:pubmed:32990596	Chai AWY (2020)	16-PMID32990596	Timecourse		SAS	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1860	973	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1860	1860	35559673	pubmed	orcs:source-family:pubmed:35559673	Feng X (2022)	16-PMID35559673	Timecourse		HEK293-A	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2270	974	16	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2270	2270	36991492	pubmed	orcs:source-family:pubmed:36991492	Tuano NK (2023)	23-PMID36991492	Timecourse	3D spheroid growth	HMEC	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:553	975	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:553	553	27260156	pubmed	orcs:source-family:pubmed:27260156	Aguirre AJ (2016)	17-PMID27260156	Timecourse		MHH-ES-1	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:197	976	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:197	197	29083409	pubmed	orcs:source-family:pubmed:29083409	Meyers RM (2017)	17-PMID29083409	Timecourse		UACC-62	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:655	977	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:655	655	29526696	pubmed	orcs:source-family:pubmed:29526696	Tarumoto Y (2018)	17-PMID29526696	Timecourse		BxPC-3	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2161	978	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2161	2161	29779948	pubmed	orcs:source-family:pubmed:29779948	Koren I (2018)	17-PMID29779948	Timecourse		HEK293T	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:707	979	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:707	707	30971826	pubmed	orcs:source-family:pubmed:30971826	Behan FM (2019)	17-PMID30971826	Timecourse		AsPC-1	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1030	980	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1030	1030	30995489	pubmed	orcs:source-family:pubmed:30995489	MacLeod G (2019)	11-PMID30995489	Timecourse		HF7450-Cas9	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1308	981	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1308	1308	32990596	pubmed	orcs:source-family:pubmed:32990596	Chai AWY (2020)	17-PMID32990596	Timecourse		SCC-9	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1861	982	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1861	1861	35559673	pubmed	orcs:source-family:pubmed:35559673	Feng X (2022)	17-PMID35559673	Timecourse	Mutation: TP53BP1 (ETG7158) KO	HEK293-A	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2271	983	17	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2271	2271	36991492	pubmed	orcs:source-family:pubmed:36991492	Tuano NK (2023)	24-PMID36991492	Timecourse	3D spheroid growth	HMEC	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:554	984	18	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:554	554	27260156	pubmed	orcs:source-family:pubmed:27260156	Aguirre AJ (2016)	18-PMID27260156	Timecourse		NCI-H1373	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:198	985	18	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:198	198	29083409	pubmed	orcs:source-family:pubmed:29083409	Meyers RM (2017)	18-PMID29083409	Timecourse		UACC-257	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:656	986	18	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:656	656	29526696	pubmed	orcs:source-family:pubmed:29526696	Tarumoto Y (2018)	18-PMID29526696	Timecourse		MIA PaCa-2	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2162	987	18	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2162	2162	29779948	pubmed	orcs:source-family:pubmed:29779948	Koren I (2018)	18-PMID29779948	Timecourse		HEK293T	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:708	988	18	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:708	708	30971826	pubmed	orcs:source-family:pubmed:30971826	Behan FM (2019)	18-PMID30971826	Timecourse		AU565	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1031	989	18	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1031	1031	30995489	pubmed	orcs:source-family:pubmed:30995489	MacLeod G (2019)	12-PMID30995489	Timecourse		HF6562-Cas9	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:1309	990	18	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:1309	1309	32990596	pubmed	orcs:source-family:pubmed:32990596	Chai AWY (2020)	18-PMID32990596	Timecourse		BICR 10	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2286	991	18	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2286	2286	36991492	pubmed	orcs:source-family:pubmed:36991492	Tuano NK (2023)	37-PMID36991492	Implantation to Mouse Model	Mutation: MAP2K1 (ETG5604) constitutively active form of MEK1 (MEKDD)	HMEC	2	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure|scope.pooled_format
orcs:2.0.18:curation-queue:v2:555	992	19	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:555	555	27260156	pubmed	orcs:source-family:pubmed:27260156	Aguirre AJ (2016)	19-PMID27260156	Timecourse		NCI-H2009	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:199	993	19	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:199	199	29083409	pubmed	orcs:source-family:pubmed:29083409	Meyers RM (2017)	19-PMID29083409	Timecourse		U-937	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:657	994	19	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:657	657	29526696	pubmed	orcs:source-family:pubmed:29526696	Tarumoto Y (2018)	19-PMID29526696	Timecourse		SUIT-2	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
orcs:2.0.18:curation-queue:v2:2163	995	19	2.0.18	2	manual_scope_review	orcs:2.0.18:screen:2163	2163	29779948	pubmed	orcs:source-family:pubmed:29779948	Koren I (2018)	19-PMID29779948	Timecourse		HEK293T	1	6	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|metadata.identifiable_drug|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data|scope.drug_exposure
